,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_scaled
171,171,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9582729468599034,0.20551470588235288,0.0022058823529410576,0.009926470588235259
172,172,0.8602941176470589,0.759493670886076,0.8094202898550724,0.9593599033816425,0.2003676470588236,-0.015073529411764652,0.002941176470588447
173,173,0.8161764705882353,0.6428571428571429,0.736231884057971,0.956280193236715,0.14926470588235285,-0.00588235294117645,0.04742647058823535
174,174,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9528985507246377,0.19044117647058822,-0.003676470588235281,-0.010661764705882426
175,175,0.8786764705882353,0.8023952095808383,0.8419082125603865,0.9296497584541062,0.20404411764705888,0.0018382352941175295,0.008455882352941035
176,176,0.8529411764705882,0.7297297297297297,0.7879227053140097,0.9615942028985507,0.18970588235294117,-0.009191176470588203,0.022794117647058854
177,177,0.7941176470588235,0.5692307692307692,0.6983091787439614,0.9602657004830918,0.13235294117647045,0.00955882352941173,0.021691176470588158
178,178,0.7536764705882353,0.47244094488188976,0.6491545893719807,0.946376811594203,0.06985294117647056,0.022058823529411686,0.00955882352941173
179,179,0.875,0.8089887640449438,0.8524154589371982,0.9205314009661836,0.19338235294117645,0.004411764705882448,-0.0132352941176469
180,180,0.8602941176470589,0.7816091954022989,0.8306763285024155,0.9318236714975846,0.14411764705882357,-0.0051470588235293935,-0.006249999999999978
181,181,0.8786764705882353,0.8023952095808383,0.8419082125603865,0.9606884057971014,0.205514705882353,-0.005514705882352922,0.0
182,182,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9473429951690822,0.15625,0.0025735294117646967,-0.010661764705882426
183,183,0.875,0.8152173913043478,0.8603864734299517,0.9379830917874397,0.1577205882352941,0.007720588235294201,-0.003308823529411753
184,184,0.8676470588235294,0.797752808988764,0.8442028985507246,0.8620772946859904,0.18051470588235285,1.1102230246251565e-16,-0.012867647058823484
185,185,0.8492647058823529,0.7484662576687117,0.8037439613526569,0.9357487922705313,0.1341911764705882,-0.0018382352941177516,0.07536764705882348
186,186,0.8970588235294118,0.8333333333333334,0.863768115942029,0.9560990338164251,0.22169117647058822,0.016176470588235348,0.010661764705882426
187,187,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9542874396135266,0.1772058823529412,-0.0018382352941177516,-0.006249999999999978
188,188,0.8933823529411765,0.8304093567251462,0.8636473429951691,0.9568236714975846,0.21433823529411777,0.010294117647058787,0.013235294117647123
189,189,0.8897058823529411,0.8192771084337349,0.8528985507246376,0.9571859903381642,0.2033088235294117,0.008455882352941257,0.010294117647058898
