,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
152,152,0.9027237354085603,0.8780487804878049,0.9194334650856391,0.9703557312252964,0.008560311284046662,0.20311284046692613,0.14669260700389108,0.09143968871595332
153,153,0.8949416342412452,0.864321608040201,0.9037549407114625,0.9674571805006589,0.006225680933852118,0.25447470817120643,0.24241245136186773,0.18910505836575886
154,154,0.9105058365758755,0.8866995073891626,0.925494071146245,0.9675230566534914,0.010116731517509692,0.13307392996108958,0.06809338521400776,0.07626459143968878
155,155,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9573781291172595,0.00038910505836575737,0.23268482490272369,0.20272373540856037,0.1225680933852139
156,156,0.9066147859922179,0.8775510204081632,0.9128458498023715,0.9703557312252964,0.0019455252918287869,0.18793774319066148,0.16498054474708168,0.07470817120622575
157,157,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9567193675889327,-0.0015564202334630295,0.2785992217898834,0.2361867704280155,0.05797665369649818
158,158,0.7976653696498055,0.7204301075268817,0.7823122529644269,0.9135046113306983,-0.0007782101167315147,0.012451361867704347,0.010505836575875449,0.0011673151750972721
159,159,0.8171206225680934,0.7513227513227513,0.8070816864295125,0.9237154150197628,0.0019455252918287869,0.019844357976653626,0.01945525291828787,0.019844357976653626
160,160,0.7976653696498055,0.7204301075268817,0.7823122529644269,0.897562582345191,0.0011673151750972721,0.014785992217898891,0.008171206225680905,0.0
161,161,0.9027237354085603,0.8717948717948718,0.9074110671936759,0.9546772068511199,-0.0035019455252918164,0.2645914396887159,0.21128404669260703,0.13540856031128412
162,162,0.8988326848249028,0.87,0.909189723320158,0.9685770750988143,0.0038910505836575737,0.17898832684824906,0.12451361867704291,0.05525291828793777
163,163,0.8171206225680934,0.7486631016042781,0.8046772068511199,0.9165349143610013,-0.0007782101167315147,0.017120622568093324,0.019844357976653626,0.015564202334630295
164,164,0.8132295719844358,0.7446808510638298,0.8016469038208169,0.9127799736495389,-0.0011673151750972721,0.021400778210116655,0.02062256809338514,0.01634241245136181
165,165,0.8560311284046692,0.8229665071770335,0.8734519104084322,0.9380105401844533,0.012840466926069993,0.010505836575875449,0.021400778210116767,0.008560311284046662
166,166,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9708827404479577,0.017509727626459082,0.2198443579766537,0.1630350194552529,0.05252918287937747
167,167,0.8171206225680934,0.7539267015706806,0.8094861660079051,0.9119894598155468,-0.0015564202334630295,0.028793774319066046,0.012062256809338479,0.012451361867704236
168,168,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9745718050065876,0.0264591439688715,0.15175097276264593,0.11712062256809341,0.06926070038910515
169,169,0.8132295719844358,0.7446808510638298,0.8016469038208169,0.9156785243741766,0.0011673151750972721,0.0237354085603112,0.018677042801556354,0.014007782101167265
170,170,0.8171206225680934,0.7513227513227513,0.8070816864295125,0.9177865612648222,-0.00038910505836575737,0.022957198443579685,0.01634241245136181,0.01322957198443575
171,171,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9693675889328063,0.010894941634241206,0.23774319066147853,0.18910505836575886,0.12451361867704291
172,172,0.8015564202334631,0.7272727272727273,0.7877470355731224,0.9065217391304349,-0.004280155642023331,0.010116731517509803,0.01634241245136192,0.007003891050583633
173,173,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9608695652173912,0.005447470817120603,0.29533073929961096,0.19922178988326855,0.09455252918287937
174,174,0.8560311284046692,0.8229665071770335,0.8734519104084322,0.9241765480895916,0.0046692607003890885,0.023346303501945553,0.024902723735408583,0.02373540856031131
175,175,0.914396887159533,0.8877551020408163,0.9213109354413702,0.9608036890645586,0.0035019455252918164,0.24202334630350186,0.13540856031128412,0.07937743190661484
176,176,0.8287937743190662,0.7731958762886598,0.825790513833992,0.9285902503293808,-0.005058365758754735,0.019844357976653737,0.026459143968871612,0.024513618677042825
177,177,0.8715953307392996,0.8450704225352113,0.8951910408432148,0.9484189723320157,0.007003891050583522,0.07743190661478594,0.06848249027237352,0.04435797665369656
178,178,0.8988326848249028,0.87,0.909189723320158,0.9623188405797101,-0.0023346303501945442,0.24669260700389106,0.24007782101167308,0.13501945525291836
179,179,0.8132295719844358,0.7419354838709677,0.7992424242424243,0.9233860342555995,-0.004280155642023331,0.0237354085603112,0.017120622568093324,0.015175097276264538
