,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
68,68,0.8711111111111111,0.8323699421965318,0.8574697613599216,0.9186008499509644,0.11555555555555552,0.027111111111111086,0.06355555555555559,-0.007111111111111179,0.046666666666666745,0.004444444444444473,0.013333333333333308,-0.020888888888888957,-0.008000000000000118,0.023555555555555552,0.014222222222222136,0.05022222222222206
69,69,0.8088888888888889,0.7295597484276729,0.7813828048381823,0.9064236678653154,-0.002666666666666706,-0.023111111111111193,-0.011555555555555541,0.0013333333333331865,0.01333333333333342,-0.02444444444444449,-0.06933333333333336,-0.05733333333333335,0.04266666666666663,0.0022222222222222365,0.00666666666666671,-0.0004444444444443585
70,70,0.8444444444444444,0.7928994082840237,0.8265364498202027,0.9227688787185354,0.034222222222222265,0.008888888888888835,-0.004444444444444473,-0.005777777777777771,0.0022222222222222365,-0.01866666666666672,-0.015111111111111186,-0.03866666666666674,0.03155555555555545,-0.001777777777777878,0.008888888888888835,0.004888888888888943
71,71,0.8266666666666667,0.7607361963190185,0.803121935272965,0.8953089244851258,0.010666666666666602,0.01200000000000001,-0.012888888888888839,-0.015555555555555545,0.040444444444444394,-0.020888888888888846,-0.007555555555555538,-0.019555555555555548,-0.0022222222222221255,0.0031111111111109535,0.000888888888888939,-0.014222222222222247
72,72,0.8,0.7133757961783439,0.7705132396207911,0.9222785223929388,-0.000888888888888828,-0.001777777777777656,0.007555555555555538,-0.0013333333333332975,0.012888888888888839,-0.034666666666666734,-0.008000000000000007,-0.022666666666666613,-0.007555555555555427,0.008888888888888946,0.0040000000000000036,0.008444444444444477
73,73,0.8622222222222222,0.8165680473372781,0.8449248120300752,0.8911408957175548,0.01822222222222214,0.039999999999999925,0.022666666666666724,0.02533333333333343,0.05111111111111111,-0.004888888888888943,-0.006666666666666599,0.004000000000000115,-0.01288888888888895,0.0057777777777776596,0.010666666666666602,0.023111111111111082
74,74,0.8311111111111111,0.7682926829268293,0.8085567178816606,0.9113272311212814,0.034666666666666734,-0.01200000000000001,-0.022666666666666502,-0.04755555555555557,0.019555555555555548,-0.05333333333333323,-0.04266666666666663,-0.059111111111111,0.017777777777777892,-0.01244444444444448,-0.015111111111111186,0.0040000000000000036
75,75,0.7377777777777778,0.5755395683453237,0.6910755148741419,0.8520758417783588,-0.021777777777777785,-0.04844444444444451,-0.04311111111111121,0.0004444444444444695,0.04488888888888887,-0.028888888888888964,-0.034222222222222265,-0.03733333333333333,-0.023111111111111193,-0.001777777777777878,-0.0022222222222222365,-0.01777777777777778
76,76,0.8088888888888889,0.7295597484276729,0.7813828048381823,0.8394900294213795,0.0031111111111110645,0.015555555555555656,-0.021777777777777785,-0.027555555555555555,0.009333333333333305,-0.011555555555555541,-0.045777777777777806,-0.0431111111111111,0.009333333333333305,0.016444444444444484,-0.000888888888888828,0.007555555555555538
77,77,0.5822222222222222,0.5948275862068966,0.6080827067669172,0.7208237986270023,0.2426666666666667,0.0022222222222223476,0.0022222222222223476,-0.035111111111111204,0.21555555555555556,-0.029333333333333322,-0.011111111111111072,-0.027111111111111197,-0.21244444444444444,-0.05555555555555558,0.02977777777777768,0.029333333333333322
78,78,0.8311111111111111,0.7625,0.8052059496567505,0.8160346518470089,0.011111111111111072,-0.0031111111111110645,0.0022222222222223476,-0.009333333333333194,0.07466666666666677,-0.001777777777777767,0.026222222222222147,-0.005333333333333301,-0.02577777777777779,-0.004444444444444473,-0.008000000000000007,0.03066666666666662
79,79,0.76,0.7244897959183674,0.7618094148414514,0.8490519777705132,0.28,0.011111111111111072,0.02488888888888896,0.007555555555555649,0.17422222222222217,0.0022222222222221255,-0.01288888888888895,-0.010222222222222133,-0.13288888888888883,0.01733333333333331,0.023555555555555552,0.0040000000000000036
