,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
87,87,0.7416666666666667,0.515625,0.6692126909518213,0.9370593419506463,0.10041666666666671,0.04874999999999996,0.036666666666666736
88,88,0.8708333333333333,0.8165680473372781,0.847972972972973,0.9332403055229141,0.1741666666666667,0.05958333333333332,0.02124999999999999
89,89,0.6916666666666667,0.3392857142857143,0.599882491186839,0.9455052878965923,0.0691666666666666,0.01041666666666663,-0.026666666666666727
90,90,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.9297884841363101,0.1316666666666667,0.050416666666666554,0.0008333333333332416
91,91,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9201674500587544,0.2616666666666667,0.1925,0.0050000000000000044
92,92,0.7541666666666667,0.549618320610687,0.6855170387779084,0.9338278495887191,0.10250000000000004,0.008749999999999925,0.026666666666666727
93,93,0.8416666666666667,0.7654320987654321,0.8099294947121034,0.9294947121034078,0.09083333333333332,0.04791666666666672,0.016249999999999987
94,94,0.8,0.6619718309859155,0.7452996474735605,0.931771445358402,0.12250000000000005,0.06208333333333338,0.06833333333333336
95,95,0.7583333333333333,0.5606060606060606,0.6909518213866039,0.9375734430082256,0.09666666666666657,0.019166666666666554,0.02124999999999999
96,96,0.8708333333333333,0.8208092485549133,0.8520857814336076,0.9386750881316098,0.11958333333333337,0.050833333333333286,0.01708333333333334
97,97,0.9,0.8695652173913043,0.8942420681551116,0.940364277320799,0.1645833333333333,0.06208333333333338,0.01041666666666663
98,98,0.9,0.8709677419354839,0.8962984723854289,0.9222238542890718,0.18499999999999994,0.04916666666666658,0.016249999999999987
99,99,0.8208333333333333,0.7261146496815286,0.7827555816686251,0.9318448883666275,0.08124999999999993,0.06624999999999992,-0.025833333333333375
100,100,0.7541666666666667,0.528,0.6793478260869565,0.9464600470035253,0.11583333333333334,0.005833333333333357,0.03375000000000006
101,101,0.8958333333333334,0.8587570621468926,0.8826380728554641,0.9345622796709753,0.1779166666666666,0.06958333333333344,0.005416666666666514
102,102,0.85,0.7831325301204819,0.822855464159812,0.933460634547591,0.12250000000000016,0.03749999999999998,0.043333333333333335
103,103,0.875,0.8235294117647058,0.8534077555816686,0.9389688601645123,0.14791666666666659,0.060833333333333406,0.012083333333333335
104,104,0.8375,0.7515923566878981,0.8003819036427732,0.9344153936545241,0.14041666666666675,0.04375000000000007,-0.023749999999999827
105,105,0.8375,0.7450980392156863,0.7962690951821387,0.93096357226792,0.11833333333333329,0.05458333333333332,0.026249999999999996
106,106,0.8541666666666666,0.7852760736196319,0.824177438307873,0.9387485311398356,0.12541666666666662,0.05124999999999991,0.008749999999999925
107,107,0.7791666666666667,0.6187050359712231,0.7201821386603996,0.94286133960047,0.10666666666666669,-0.008333333333333304,0.012083333333333335
108,108,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9354435957696826,0.19624999999999992,0.06333333333333335,0.009999999999999898
109,109,0.8125,0.6896551724137931,0.7616039952996474,0.9361045828437133,0.08875,0.05625000000000013,0.004166666666666652
110,110,0.8208333333333333,0.7189542483660131,0.7786427732079906,0.917743830787309,0.08541666666666659,0.08749999999999991,-0.018333333333333424
111,111,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.9458725029377204,0.10250000000000004,0.053333333333333344,0.018333333333333313
112,112,0.9041666666666667,0.8770053475935828,0.9017332549941246,0.9269976498237368,0.24125000000000008,0.03916666666666668,-0.002083333333333326
113,113,0.6166666666666667,0.0,0.5,0.931183901292597,-0.00374999999999992,-0.0004166666666667318,-0.01791666666666658
114,114,0.8875,0.8439306358381503,0.8697121034077555,0.9416862514688601,0.14625,0.08500000000000008,0.019999999999999907
115,115,0.8625,0.8047337278106509,0.839159811985899,0.9379406580493537,0.1429166666666668,0.10125000000000006,-0.0008333333333332416
116,116,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.9330199764982374,0.10583333333333333,0.04208333333333325,0.013749999999999929
