,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
103,103,0.8493150684931506,0.8,0.8311365970558028,0.9292194453954126,0.01187214611872145,0.16529680365296784,0.12648401826484013,0.09452054794520548
104,104,0.821917808219178,0.7483870967741936,0.7955323519342691,0.9221157137966449,-0.06438356164383552,0.09908675799086752,0.06621004566210043,0.04566210045662089
105,105,0.8767123287671232,0.847457627118644,0.8682386169120164,0.9117596713454297,0.26347031963470324,0.012328767123287676,0.004566210045662045,0.052968036529680296
106,106,0.8995433789954338,0.8817204301075269,0.8984080794248545,0.9264806573091408,0.033789954337899664,0.2045662100456621,0.1328767123287672,0.1821917808219179
107,107,0.863013698630137,0.8214285714285714,0.8474409448818898,0.9383772680588839,0.06073059360730593,0.19589041095890414,0.11324200913242011,0.1602739726027398
108,108,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9180931187949333,0.06666666666666676,0.013698630136986245,0.16666666666666674,0.06484018264840186
109,109,0.8538812785388128,0.8048780487804879,0.8350736049298185,0.9189489900718932,0.0858447488584475,0.0639269406392694,0.14109589041095894,0.03652968036529691
110,110,0.8584474885844748,0.8074534161490683,0.8375128380691543,0.954809996576515,0.040182648401826504,0.07945205479452055,0.018264840182648512,0.0949771689497716
111,111,0.8401826484018264,0.7928994082840237,0.8247603560424512,0.9179219445395412,0.27488584474885847,0.0657534246575342,0.01963470319634708,-0.005479452054794498
112,112,0.821917808219178,0.7515923566878981,0.797030126668949,0.9133002396439576,-0.0602739726027397,0.06986301369863002,0.05890410958904102,0.09999999999999998
113,113,0.8584474885844748,0.8187134502923976,0.8450017117425539,0.921516603902773,0.04429223744292243,0.05388127853881275,0.15936073059360734,0.024657534246575352
114,114,0.8264840182648402,0.7710843373493976,0.8084560082163643,0.9107326258130777,0.35479452054794525,0.029223744292237508,0.00502283105022816,-0.0009132420091323423
115,115,0.8310502283105022,0.7643312101910829,0.8064019171516603,0.9284491612461485,-0.009589041095890427,0.15296803652968038,0.10091324200913243,0.18767123287671228
116,116,0.7214611872146118,0.5271317829457365,0.6729715850736049,0.9184354673057171,0.06210045662100461,-0.008675799086757974,-0.04474885844748855,-0.01050228310502288
117,117,0.867579908675799,0.8397790055248618,0.8618623758986648,0.889592605272167,0.423744292237443,0.0036529680365295913,0.014155251141552583,0.05022831050228316
118,118,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9239986306059568,0.08995433789954332,0.03926940639269405,0.017351598173515836,0.10182648401826477
119,119,0.8767123287671232,0.8421052631578947,0.8637452927079767,0.9228004108182128,0.06803652968036522,0.14292237442922373,0.11278538812785377,0.09634703196347028
120,120,0.8721461187214612,0.8372093023255814,0.859808284833961,0.9273365285861007,0.061187214611872154,0.20045662100456618,0.06484018264840197,0.04429223744292232
121,121,0.8310502283105022,0.7757575757575758,0.8123930160903801,0.9291338582677166,0.31095890410958893,0.10273972602739723,0.06986301369863013,0.0031963470319633647
122,122,0.7990867579908676,0.725,0.7758473125641904,0.9133858267716536,0.02648401826484026,-0.00273972602739736,-0.004109589041095929,-0.00273972602739736
123,123,0.817351598173516,0.7468354430379747,0.7930931187949333,0.9194625128380691,0.26027397260273977,0.0397260273972605,0.018721461187214627,-0.010045662100456543
124,124,0.8721461187214612,0.8390804597701149,0.8613060595686408,0.9177507702841493,-0.019178082191780743,0.029223744292237508,0.1789954337899543,0.1150684931506849
125,125,0.867579908675799,0.8220858895705522,0.8483824032865457,0.9548099965765149,0.03424657534246578,0.13652968036529667,0.05251141552511396,0.13424657534246576
126,126,0.7990867579908676,0.725,0.7758473125641904,0.9160390277302293,0.04931506849315059,-0.007305936073059183,-0.010045662100456543,-0.008219178082191636
127,127,0.908675799086758,0.8863636363636364,0.9002909962341663,0.9424854501882917,0.001369863013698569,0.182648401826484,0.1041095890410959,0.24520547945205484
128,128,0.6986301369863014,0.4406779661016949,0.6413043478260869,0.9162957891133173,-0.021917808219177992,-0.011415525114155223,0.004109589041095929,0.00136986301369868
129,129,0.8812785388127854,0.8522727272727273,0.8721756247860322,0.9184354673057172,0.15799086757990877,0.16392694063926927,0.07351598173515983,0.09908675799086764
130,130,0.8721461187214612,0.8409090909090909,0.8628038343033209,0.9144984594317015,0.32237442922374426,0.0237442922374429,0.007305936073059294,0.01050228310502277
131,131,0.817351598173516,0.75,0.7945908935296131,0.922800410818213,0.1785388127853882,0.013698630136986356,0.015068493150684925,0.009589041095890427
132,132,0.8264840182648402,0.7840909090909091,0.8159448818897638,0.8497945908935296,0.3999999999999999,0.005022831050228382,-0.001369863013698458,0.07625570776255719
133,133,0.8721461187214612,0.8372093023255814,0.859808284833961,0.9316158849709003,0.051598173515981616,0.1698630136986301,0.05296803652968041,0.07442922374429228
134,134,0.8493150684931506,0.8,0.8311365970558028,0.9067100308113659,0.17808219178082196,0.14520547945205475,0.05662100456620989,-0.002739726027397249
