,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
40,40,0.8715953307392996,0.8216216216216217,0.8615283267457181,0.9409749670619236,0.0058365758754862496,0.02529182879377434,0.026459143968871612,-0.008171206225681016,-0.016731517509727678,-0.008171206225681016,0.002334630350194433,-0.0007782101167316258,-0.015175097276264649,0.006225680933852007,-0.018287937743190708,0.039688715953307474
41,41,0.9105058365758755,0.8685714285714285,0.8918313570487484,0.9800395256916996,0.03385214007782089,-0.0035019455252918164,-0.020622568093385252,0.02684824902723726,-0.007392996108949501,0.031906614785992105,0.0046692607003890885,-0.017509727626459193,-0.009338521400778288,0.007003891050583633,0.00739299610894939,0.01322957198443575
42,42,0.9027237354085603,0.8571428571428571,0.8833662714097497,0.9741106719367589,0.015953307392996052,0.03424124513618665,0.010116731517509692,0.0038910505836575737,-0.0015564202334630295,0.0015564202334630295,0.014396887159533023,-0.0023346303501945442,-0.0007782101167315147,0.019844357976653626,0.022957198443579685,0.010894941634241206
43,43,0.8832684824902723,0.8557692307692307,0.9018774703557312,0.9530961791831357,0.007392996108949279,-1.1102230246251565e-16,0.0019455252918286758,0.0015564202334629185,0.019844357976653515,-0.0015564202334631405,0.007782101167315036,-0.011673151750972832,-0.005836575875486472,0.00038910505836564635,0.008560311284046551,0.002334630350194433
44,44,0.867704280155642,0.8131868131868132,0.8536890645586298,0.944927536231884,0.014396887159533134,0.00038910505836564635,0.02529182879377434,-0.019844357976653737,-0.0077821011673152585,-0.0011673151750973831,-0.008560311284046773,0.011284046692607075,-0.013229571984435862,0.012840466926070104,0.008949416342412309,0.005058365758754735
45,45,0.8638132295719845,0.8066298342541437,0.8482542819499341,0.9505270092226614,-0.01206225680933859,0.004280155642023442,0.0077821011673152585,0.01945525291828798,-0.019066147859922222,0.007392996108949501,-0.020622568093385252,0.0007782101167314037,0.010116731517509803,0.0046692607003889774,0.022957198443579907,-0.018677042801556465
46,46,0.8638132295719845,0.8167539267015707,0.8602766798418973,0.9595520421607379,-0.006225680933852229,-0.019066147859922222,-0.011673151750972832,0.00038910505836564635,0.0011673151750973831,-0.0011673151750973831,-0.012840466926070104,-0.0023346303501946553,-0.007003891050583744,0.003112840466925948,0.008560311284046773,-0.01206225680933859
47,47,0.8171206225680934,0.6967741935483871,0.766205533596838,0.952832674571805,0.02529182879377423,0.00894941634241242,0.015953307392996052,0.012840466926069993,-0.003112840466926059,-0.022957198443579796,-0.005836575875486361,0.0015564202334630295,0.018677042801556354,0.04319066147859929,0.010894941634241206,0.022957198443579685
48,48,0.8832684824902723,0.84375,0.8826416337285903,0.9547430830039526,0.012451361867704125,0.005058365758754735,0.014785992217898669,0.012062256809338368,0.006225680933852007,0.007003891050583522,-0.017509727626459193,0.011284046692606853,-0.014396887159533134,0.00428015564202322,-0.00894941634241253,-0.004280155642023442
49,49,0.8754863813229572,0.8476190476190476,0.8958168642951252,0.9539525691699605,0.012840466926069882,-0.0027237354085604126,0.007392996108949279,0.0038910505836574627,0.014785992217898669,0.0015564202334629185,0.00038910505836564635,0.0019455252918286758,-0.02256809338521404,-0.004280155642023442,0.006225680933852007,-0.010116731517509803
50,50,0.8910505836575876,0.851063829787234,0.8862977602108038,0.9604743083003953,0.013618677042801508,0.02062256809338514,0.019844357976653626,0.0046692607003890885,-0.0038910505836575737,0.006614785992217875,0.005058365758754846,0.009338521400778177,0.005447470817120603,0.01789883268482484,0.0077821011673151474,0.01634241245136181
51,51,0.9221789883268483,0.898989898989899,0.9321805006587616,0.9669960474308301,-0.0015564202334630295,0.024124513618677068,0.01634241245136192,0.007392996108949501,-0.0007782101167315147,0.015175097276264649,0.033463035019455245,0.0038910505836575737,-0.0038910505836575737,-0.0007782101167315147,0.016731517509727678,0.052918287937743114
52,52,0.8443579766536965,0.7849462365591398,0.833102766798419,0.9241765480895916,0.013229571984435862,0.006614785992217875,-0.005836575875486361,0.01206225680933859,-0.03151750972762657,0.0,0.00739299610894939,-0.0035019455252918164,0.0035019455252918164,0.029182879377431914,0.02957198443579767,-0.004280155642023331
53,53,0.8871595330739299,0.8415300546448088,0.8760540184453228,0.9700922266139658,0.014007782101167154,0.007782101167315036,0.0027237354085601906,-0.0007782101167316258,-0.011284046692607075,0.00038910505836564635,-0.00894941634241253,0.00428015564202322,-0.018677042801556465,0.006225680933852007,-0.0038910505836576847,-0.022957198443579907
54,54,0.8482490272373541,0.7636363636363637,0.8120882740447959,0.9635046113306983,-0.011673151750972943,-0.00038910505836575737,-0.006225680933852118,0.0023346303501945442,-0.0046692607003890885,-0.009727626459144156,-0.008560311284046884,-0.006614785992217875,-0.011673151750972943,-0.03385214007782111,0.007003891050583633,-0.01673151750972779
55,55,0.8832684824902723,0.85,0.8922595520421608,0.9683135704874835,0.005447470817120492,-0.010116731517509803,-0.0007782101167316258,0.005447470817120492,0.02334630350194533,0.0007782101167314037,-0.014396887159533134,-1.1102230246251565e-16,-0.012840466926070104,-0.008560311284046773,0.036575875486381304,-0.009727626459144045
56,56,0.9027237354085603,0.8587570621468926,0.8857707509881423,0.9710803689064559,0.012062256809338479,0.018677042801556354,0.01322957198443575,-0.006225680933852118,-0.006614785992217875,-0.010894941634241317,0.0007782101167315147,0.0077821011673151474,0.004280155642023331,0.005058365758754846,0.010505836575875449,-0.004280155642023331
57,57,0.754863813229572,0.5333333333333333,0.6744400527009222,0.9510540184453228,0.037743190661478576,0.007003891050583633,-0.0035019455252918164,0.009727626459143934,0.0035019455252918164,0.0,0.00894941634241242,0.018287937743190597,-0.04591439688715959,-0.010505836575875449,-0.015564202334630295,-0.011673151750972721
58,58,0.914396887159533,0.8877551020408163,0.9213109354413702,0.9637022397891963,0.0015564202334630295,0.010894941634241206,0.021789883268482413,0.010894941634241206,0.005058365758754735,0.015564202334630295,0.029182879377431803,0.014007782101167265,0.006614785992217875,0.00739299610894939,0.05797665369649807,0.06459143968871595
59,59,0.9027237354085603,0.8538011695906432,0.8785573122529644,0.9750329380764164,0.022957198443579685,0.007003891050583633,0.01634241245136181,0.017120622568093324,-0.004280155642023331,0.012062256809338479,0.014396887159533023,0.01322957198443575,0.006225680933852118,0.04357976653696505,0.010894941634241206,-0.01789883268482495
60,60,0.8988326848249028,0.8673469387755102,0.9043807641633729,0.9397233201581028,0.012451361867704236,0.0035019455252918164,0.024513618677042714,-0.0011673151750972721,-0.005058365758754846,-0.0046692607003890885,-0.0007782101167315147,0.0035019455252918164,-0.004280155642023331,-0.01322957198443575,0.03735408560311271,0.021789883268482413
61,61,0.6459143968871596,0.061855670103092786,0.5102437417654809,0.9523715415019763,-0.005836575875486472,0.005836575875486361,-0.0035019455252918164,-0.016731517509727678,-0.007003891050583744,0.0,0.008171206225680905,-0.04708171206225675,0.00038910505836564635,-0.03151750972762646,-0.052529182879377356,-0.01634241245136192
62,62,0.8404669260700389,0.7132867132867133,0.7771739130434783,0.9814888010540184,0.038132295719844334,-0.016731517509727567,-0.012062256809338479,-0.01361867704280173,-0.0015564202334630295,0.0011673151750972721,0.021789883268482524,-0.017120622568093324,0.0019455252918287869,0.011673151750972832,0.013229571984435862,0.007003891050583633
63,63,0.8404669260700389,0.7354838709677419,0.791600790513834,0.9519104084321477,0.055642023346303415,0.0,0.026070038910505855,0.015175097276264649,0.01206225680933859,0.027237354085603127,-0.0077821011673151474,0.015175097276264649,0.00894941634241253,-0.0011673151750972721,-0.00038910505836564635,0.03268482490272373
64,64,0.8754863813229572,0.8241758241758241,0.8621541501976284,0.9654150197628458,-0.014396887159533134,0.006225680933852007,-1.1102230246251565e-16,0.006614785992217764,-0.008560311284046773,0.0027237354085601906,0.0007782101167314037,0.010505836575875338,-0.006225680933852229,-0.0003891050583658684,0.011284046692607075,0.00038910505836564635
65,65,0.8871595330739299,0.8585365853658536,0.9025032938076416,0.96699604743083,0.008171206225680794,0.002334630350194433,-0.0038910505836576847,0.001167315175097161,0.008171206225680794,0.001167315175097161,-0.008560311284046773,-0.005836575875486472,-0.01634241245136192,-0.008560311284046773,0.009727626459143823,0.007003891050583522
66,66,0.8715953307392996,0.8341708542713567,0.8783596837944664,0.9389328063241107,0.013618677042801619,-0.0023346303501946553,-0.0015564202334631405,-0.0023346303501946553,-0.0019455252918288979,0.0035019455252917053,-0.011673151750972832,0.007782101167315036,-0.014396887159533134,-0.012840466926070104,0.00428015564202322,0.03540856031128414
67,67,0.8715953307392996,0.8235294117647058,0.8639328063241107,0.9621870882740449,-0.01206225680933859,0.012062256809338368,-0.010116731517509803,0.0035019455252917053,-0.019066147859922222,-0.0003891050583658684,0.0007782101167314037,0.01050583657587556,-0.022957198443579796,0.0019455252918286758,0.00038910505836564635,-1.1102230246251565e-16
68,68,0.8832684824902723,0.8295454545454546,0.8634057971014493,0.9544795783926219,0.02217898832684806,0.010505836575875338,0.002334630350194433,0.010505836575875338,-0.0011673151750973831,0.018287937743190485,0.010505836575875338,0.007392996108949279,-0.005836575875486472,0.003112840466925948,0.026459143968871612,0.0035019455252917053
69,69,0.8365758754863813,0.7272727272727273,0.7861660079051384,0.9474967061923585,0.055642023346303526,0.021400778210116767,0.009338521400778288,-0.008560311284046662,0.009338521400778288,-0.0023346303501945442,0.011673151750972832,-0.0046692607003890885,-0.011673151750972721,0.0023346303501945442,1.1102230246251565e-16,-0.005058365758754735
70,70,0.8365758754863813,0.75,0.8029973649538867,0.9453886693017128,0.007003891050583744,0.009727626459144045,-0.01945525291828809,0.01206225680933859,-0.029182879377432025,-0.00038910505836575737,0.0019455252918287869,0.0035019455252919274,-0.01322957198443575,-0.008171206225680905,0.0027237354085604126,0.008560311284046773
71,71,0.8988326848249028,0.8631578947368421,0.897167325428195,0.976943346508564,-0.0038910505836575737,0.01322957198443575,0.009338521400778177,0.015564202334630295,-0.014396887159533134,0.010116731517509692,0.004280155642023331,0.00894941634241242,-0.015175097276264649,-0.012451361867704236,0.0019455252918287869,0.00038910505836575737
72,72,0.7937743190661478,0.6187050359712231,0.7215744400527009,0.9544795783926219,0.005058365758754735,0.016731517509727567,0.037743190661478576,0.010894941634241206,-1.1102230246251565e-16,-0.007003891050583744,0.022957198443579796,-0.012451361867704347,-0.011284046692607075,0.014007782101167265,0.02684824902723737,0.016731517509727678
73,73,0.8171206225680934,0.6666666666666666,0.7493741765480897,0.9710803689064559,-0.04513618677042819,0.017120622568093324,0.018287937743190597,-0.015175097276264649,-0.0038910505836575737,0.0027237354085603016,0.0019455252918287869,0.0007782101167315147,-0.026070038910505855,0.02801556420233453,0.01322957198443575,0.028404669260700288
74,74,0.8910505836575876,0.8541666666666666,0.8911067193675889,0.9716073781291172,0.0015564202334630295,0.0011673151750972721,0.018287937743190597,0.014007782101167265,-0.012451361867704236,0.006225680933852118,-0.010894941634241206,-0.022957198443579685,-0.03268482490272373,-0.012451361867704236,0.01478599221789878,-0.0284046692607004
75,75,0.754863813229572,0.5263157894736842,0.6720355731225296,0.9415678524374176,0.005836575875486361,-0.01634241245136192,0.00739299610894939,0.01634241245136181,-0.013618677042801508,0.006225680933852118,0.015564202334630295,0.030739299610894943,-0.009727626459143934,-0.015564202334630406,-0.010894941634241206,-0.03618677042801566
