,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_scaled
95,95,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9640096618357488,0.21838235294117636,0.012499999999999956,0.006617647058823395
96,96,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.9632246376811594,0.21250000000000002,0.00588235294117645,0.004044117647058698
97,97,0.8676470588235294,0.7831325301204819,0.8282608695652174,0.9520531400966183,0.1639705882352941,-0.004411764705882337,0.03124999999999989
98,98,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9574879227053139,0.1875,0.014705882352941124,0.012132352941176539
99,99,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9666666666666668,0.18272058823529425,0.010661764705882315,0.011397058823529482
100,100,0.8933823529411765,0.8449197860962567,0.884903381642512,0.9603864734299516,0.2474264705882353,0.0051470588235293935,0.009558823529411842
101,101,0.7720588235294118,0.5079365079365079,0.6683574879227053,0.9584541062801932,0.10808823529411771,0.003676470588235392,0.05514705882352944
102,102,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9658212560386473,0.18161764705882355,0.009191176470588092,0.008088235294117618
103,103,0.8235294117647058,0.6571428571428571,0.7444444444444445,0.9515096618357488,0.1536764705882352,-0.0014705882352940014,0.06727941176470587
104,104,0.7720588235294118,0.5,0.6657004830917874,0.9472826086956522,0.10588235294117654,0.004779411764705865,0.028308823529411775
105,105,0.875,0.8152173913043478,0.8603864734299517,0.9464371980676328,0.1301470588235294,0.00404411764705892,0.012867647058823595
106,106,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9483091787439613,0.1224264705882353,0.01544117647058818,0.016176470588235237
107,107,0.8419117647058824,0.7152317880794702,0.7795893719806763,0.9560386473429952,0.15661764705882353,-0.009191176470588314,0.030514705882352833
108,108,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9634057971014492,0.2018382352941176,0.00955882352941173,0.022794117647058854
109,109,0.875,0.8131868131868132,0.8577294685990338,0.9530797101449275,0.13602941176470595,-0.0007352941176470562,-0.0011029411764706953
110,110,0.8382352941176471,0.6944444444444444,0.7661835748792271,0.863526570048309,0.16323529411764703,-0.00772058823529409,0.05294117647058827
111,111,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9617753623188405,0.174264705882353,0.010661764705882315,0.017647058823529238
112,112,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9659420289855072,0.21213235294117638,0.0055147058823528106,0.004044117647058809
113,113,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.966183574879227,0.19705882352941184,0.003676470588235392,-0.003676470588235392
114,114,0.875,0.8131868131868132,0.8577294685990338,0.9469806763285025,0.14264705882352946,0.0051470588235293935,0.003308823529411753
115,115,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9644927536231884,0.1977941176470589,0.010294117647058787,0.006617647058823506
116,116,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9621980676328502,0.21838235294117647,0.003676470588235281,0.00955882352941173
117,117,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9417270531400966,0.11801470588235308,0.004411764705882337,0.01580882352941182
118,118,0.8566176470588235,0.7515923566878981,0.8039855072463769,0.9553743961352656,0.17242647058823524,-1.1102230246251565e-16,0.01727941176470571
119,119,0.875,0.8,0.8417874396135265,0.9513888888888888,0.14742647058823533,0.006617647058823506,0.022426470588235325
120,120,0.7757352941176471,0.5196850393700787,0.673792270531401,0.9553743961352656,0.10882352941176476,0.016176470588235348,0.06838235294117645
121,121,0.875,0.7976190476190477,0.8391304347826087,0.9587560386473429,0.1588235294117647,0.0051470588235293935,0.018014705882352877
122,122,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9648550724637681,0.20477941176470582,0.009558823529411842,0.01397058823529429
123,123,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.9642512077294686,0.2095588235294117,0.010661764705882315,0.026470588235294024
124,124,0.8639705882352942,0.7885714285714286,0.8361111111111111,0.9373188405797102,0.13382352941176467,-0.0011029411764704733,0.006249999999999978
125,125,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.963707729468599,0.2172794117647059,0.011029411764705954,0.007352941176470451
126,126,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9645531400966183,0.1977941176470588,0.004779411764705865,0.0055147058823528106
127,127,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9647946859903382,0.20624999999999993,-0.0003676470588234171,0.0003676470588234171
128,128,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9521739130434782,0.14007352941176476,-0.0007352941176470562,0.014705882352941124
129,129,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9142512077294687,0.12389705882352942,0.00588235294117645,0.012867647058823373
130,130,0.875,0.8131868131868132,0.8577294685990338,0.9583333333333334,0.11764705882352944,0.003676470588235281,0.013235294117647123
131,131,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9599033816425121,0.19301470588235303,0.00772058823529409,0.025000000000000133
132,132,0.8676470588235294,0.8,0.8468599033816425,0.9538043478260869,0.12499999999999989,-0.0022058823529411686,0.010661764705882315
133,133,0.8492647058823529,0.7248322147651006,0.7851449275362319,0.9596014492753623,0.17205882352941182,-0.00588235294117645,0.0235294117647058
134,134,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9570048309178744,0.188970588235294,0.0025735294117645857,0.0051470588235295045
135,135,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9638285024154589,0.19191176470588234,0.008823529411764786,0.005882352941176339
136,136,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9669082125603865,0.19889705882352926,0.00772058823529409,0.006985294117646923
137,137,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9665458937198067,0.21801470588235294,0.009926470588235259,0.015073529411764541
138,138,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.9603260869565218,0.14522058823529416,0.012499999999999956,0.012867647058823484
139,139,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9405193236714976,0.1264705882352941,0.013235294117647012,0.010661764705882426
140,140,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9647946859903381,0.2238970588235294,0.0022058823529411686,0.0051470588235293935
141,141,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.9643115942028986,0.2305147058823529,-0.0014705882352941124,0.006985294117646923
142,142,0.875,0.8111111111111111,0.855072463768116,0.9193840579710144,0.10919117647058818,0.013602941176470651,0.01948529411764688
143,143,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.9619565217391304,0.21213235294117638,-0.0025735294117648078,-0.0011029411764708064
