,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
151,151,0.6222222222222222,0.19047619047619047,0.5430696305982347,0.8640078457012096,0.010666666666666602,0.00666666666666671,0.01777777777777767,0.019555555555555548
152,152,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8858287021902583,0.18711111111111123,0.05155555555555569,0.021777777777777896,0.010222222222222244
153,153,0.8355555555555556,0.8121827411167513,0.8407976462896372,0.9153318077803204,0.22577777777777785,0.13555555555555565,0.08977777777777785,0.08666666666666667
154,154,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8881170317097092,0.13644444444444437,0.04222222222222227,0.03599999999999992,0.012888888888888728
155,155,0.8,0.7783251231527094,0.8090470742072573,0.9080581889506374,0.2982222222222224,0.09422222222222221,0.10088888888888892,0.058666666666666756
156,156,0.7822222222222223,0.7487179487179487,0.7839571755475645,0.8556717881660674,0.22266666666666668,-0.026666666666666616,0.03600000000000014,0.03644444444444439
157,157,0.7555555555555555,0.5925925925925926,0.7061131088591043,0.902827721477607,0.02444444444444438,0.03688888888888886,0.026666666666666727,0.023555555555555552
158,158,0.7466666666666667,0.7192118226600985,0.7538819875776397,0.8850114416475972,0.1404444444444446,0.05422222222222228,0.06399999999999995,-0.033333333333333326
159,159,0.7244444444444444,0.515625,0.6680696305982347,0.8796175220660347,0.00666666666666671,0.07288888888888878,0.07644444444444454,0.11599999999999999
160,160,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8829682902909447,0.15422222222222226,0.04888888888888876,0.006222222222222129,0.07466666666666677
161,161,0.8088888888888889,0.7700534759358288,0.8048381824125531,0.9073226544622426,0.20400000000000007,0.008888888888888946,0.15866666666666673,0.06222222222222218
162,162,0.7733333333333333,0.7487684729064039,0.7814645308924485,0.8738966982674076,0.22177777777777774,0.008888888888888724,0.027111111111111086,0.029777777777777792
163,163,0.7555555555555555,0.5925925925925926,0.7061131088591043,0.8811703170970906,0.044888888888888756,0.07377777777777772,0.05155555555555558,0.04400000000000004
164,164,0.8622222222222222,0.8165680473372781,0.8449248120300752,0.8906505393919582,0.19866666666666655,0.03066666666666673,0.06311111111111112,0.06933333333333336
165,165,0.7422222222222222,0.7128712871287128,0.7484472049689441,0.8836220987250736,0.2386666666666667,-0.0022222222222222365,0.04222222222222216,0.015111111111111186
166,166,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8985779666557699,0.17466666666666664,0.10844444444444457,0.12888888888888894,0.09377777777777774
167,167,0.7822222222222223,0.6524822695035462,0.7387218045112782,0.8952271984308596,0.0444444444444444,0.08444444444444443,0.0888888888888889,0.06044444444444441
168,168,0.8177777777777778,0.7734806629834254,0.8090062111801242,0.8926119646943446,0.24088888888888882,0.046666666666666634,0.016000000000000125,-0.005333333333333301
169,169,0.8488888888888889,0.8,0.8319712324288984,0.8668682576005231,0.17688888888888898,0.00666666666666671,0.035555555555555673,0.014666666666666717
