,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled
20,20,0.8816326530612245,0.8465608465608465,0.8792270531400965,0.9612105711849958,-0.00448979591836729,0.02571428571428569,0.01346938775510198,0.0065306122448979265,-0.005306122448979433,0.008979591836734802,-0.0032653061224491298,0.007346938775510181,-0.006938775510204054,0.001224489795918271,-0.0016326530612243983,0.00897959183673469
21,21,0.9020408163265307,0.8762886597938144,0.9064009661835748,0.9749218527990906,-0.017142857142857126,0.0151020408163266,0.01836734693877562,0.01836734693877562,0.013469387755102091,0.0008163265306124767,-0.0008163265306121437,0.0065306122448980375,-0.01795918367346927,0.011428571428571344,0.003673469387755146,0.015510204081632728
22,22,0.9102040816326531,0.8888888888888888,0.9194373401534527,0.9694515487354363,-0.0032653061224490187,0.029795918367347074,0.018775510204081636,0.013061224489795964,0.004489795918367401,0.038367346938775526,0.037142857142857255,0.025306122448979673,0.007346938775510292,0.02612244897959204,0.022857142857142798,0.029795918367347074
23,23,0.8693877551020408,0.8367346938775511,0.8737567490764422,0.9611395282750781,-0.010612244897959311,0.004081632653061273,0.0028571428571427804,0.00448979591836729,-0.015510204081632617,-0.011428571428571455,-0.006938775510204054,-0.0065306122448980375,-0.008979591836734802,0.0016326530612245094,0.0016326530612245094,0.001224489795918493
24,24,0.8816326530612245,0.8512820512820513,0.8857274793975561,0.9666808752486502,-0.02122448979591829,-0.0004081632653060163,0.003673469387755146,-0.0004081632653060163,-0.0053061224489795444,-0.005306122448979433,-0.004897959183673417,0.005306122448979433,-0.009387755102040818,0.0008163265306122547,1.1102230246251565e-16,0.007346938775510181
25,25,0.8857142857142857,0.8556701030927835,0.8889954532537653,0.9746376811594203,-0.026938775510204183,0.002448979591836764,0.014693877551020473,0.006938775510203943,-0.03591836734693876,0.002448979591836542,0.011020408163265327,0.010204081632652962,-0.02571428571428569,0.006122448979591799,0.010612244897959089,0.006938775510204165
26,26,0.8938775510204081,0.8617021276595744,0.8911977834612106,0.9659704461494742,-0.01836734693877562,0.02693877551020407,0.020408163265306034,0.014285714285714235,0.011836734693877582,-0.0016326530612245094,-0.0016326530612245094,0.0020408163265305257,-0.008163265306122547,0.001224489795918271,0.007346938775509959,0.004489795918367179
27,27,0.8979591836734694,0.8730964467005076,0.9052998010798523,0.9727195225916454,-0.010204081632652962,0.011836734693877471,0.01632653061224476,0.012653061224489837,0.033877551020408236,0.011836734693877582,0.0065306122448979265,0.010612244897959089,-0.018775510204081525,0.012653061224489837,0.0318367346938776,0.04081632653061229
28,28,0.9020408163265307,0.8736842105263158,0.9020673486786019,0.9685279909065074,-0.008163265306122436,0.0212244897959184,0.017142857142857237,0.0077551020408163085,-0.0028571428571426694,0.004897959183673528,0.002448979591836875,0.011836734693877582,-0.004897959183673417,0.011428571428571566,0.01836734693877562,0.015918367346938744
29,29,0.889795918367347,0.8556149732620321,0.8857630008525149,0.9636970730321114,-0.01673469387755111,0.015510204081632617,0.0053061224489795444,-0.011836734693877582,-0.021632653061224638,0.008163265306122547,0.01836734693877562,-0.0028571428571428914,-0.021632653061224638,-2.220446049250313e-16,0.003673469387755035,0.023265306122448925
