,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_scaled
22,4,2,22,0.9118773946360154,0.9108755154792333,0.8661639344262295,0.9015278688524591,2.533936785034422,1.444954516743139,1.1421109846631627,-1.6838000664808166,0.3832299000409284,0.16896551724137937,0.11302681992337167,0.08842911877394641,0.011417624521072844
23,4,3,23,0.8567708333333334,0.8590287727811905,0.8589603283173735,0.9272432487206769,1.2978048427871067,-1.980994346852928,0.29226469791160964,0.3757380472179209,6.273217417538784,0.18064236111111115,0.15564236111111113,0.1166666666666667,-0.007899305555555514
24,4,4,24,0.7944550669216062,0.788603703018246,0.7941380772717966,0.8686971717703489,0.2040523962149139,1.0439223393160137,1.2995756013156272,-0.6864679590291937,2.7038585407352,0.11768642447418742,0.07342256214149145,0.056214149139579395,-0.005927342256214085
25,5,0,25,0.8395833333333333,0.846975527746883,0.8615281092696274,0.9458484828206672,1.2824108645655679,-0.5986537772189072,0.2537297664731394,-0.6803180771286166,5.141150442811125,0.15659722222222225,0.1304861111111111,0.10201388888888889,0.06388888888888891
26,5,1,26,0.8765638031693077,0.8733848957255523,0.8475790513833992,0.9234968259671817,0.18832581332724146,-1.2002233299295735,0.7550535246658525,-0.815516784206708,6.671865955222438,0.14603836530442033,0.1147623019182652,0.09366138448707252,0.0036697247706421353
27,5,2,27,0.7737730061349694,0.7618351375070143,0.7540141755026033,0.8619028617033406,0.7642174825687799,-0.5758902735090353,3.383688584821556,-1.5630927606367262,2.7880469270096446,0.10053680981595092,0.04823619631901843,0.05283742331288349,0.0020705521472393017
28,5,3,28,0.9148745519713262,0.9105369628902151,0.832105641394179,0.8988832573708796,-0.29861242187904335,-0.024135773502798413,-0.2818520039683403,0.7347122030399834,4.004285751073084,0.12625448028673833,0.09784946236559139,0.07508960573476701,0.0015232974910394214
29,5,4,29,0.7977430555555556,0.7739232578637071,0.7174326937379146,0.7203959872411457,-0.8630113306494114,-0.22773214465325337,4.261132593905844,0.8240680598524908,1.4664692354413271,0.0904513888888889,0.07187500000000002,0.06302083333333336,-0.01319444444444442
30,6,0,30,0.8170914542728636,0.8140797606363924,0.8149006734196,0.8672812510539747,0.45539466510797993,0.8738043258849936,0.5749904997179951,1.165701202986332,0.42736895783549467,0.1275862068965517,0.09640179910044978,0.08073463268365817,0.001124437781109422
31,6,1,31,0.9002849002849003,0.8994995782144376,0.824101335159192,0.8808798356727149,1.2937615715595865,1.947128460062172,1.2319983529466385,-0.4916727238066941,-0.06516328515784502,0.1272079772079772,0.10527065527065527,0.07962962962962963,-0.0022079772079772186
32,6,2,32,0.8069444444444445,0.8004686980566955,0.7877554060915198,0.8665056584836087,0.12393417975325066,-0.4585301058274194,4.3345292370790025,1.0091232247269646,0.7277267854667037,0.11062500000000001,0.05625000000000002,0.05784722222222224,0.009722222222222243
