,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled
26,5,1,26,0.8657214345287739,0.8616633920881868,0.8332839262187088,0.9038208168642952,1.5163772343533262,-0.10973488855501629,0.28157687053668784,0.9412759833635755,3.4679476741288062,0.15129274395329437,0.1204336947456213,0.08965804837364466,0.0032527105921600795
27,5,2,27,0.8228527607361963,0.8181556885031286,0.8095000570060427,0.9046193896553035,3.0709459788987017,-0.8680060541722576,1.3697002467276342,-1.4304102340972558,3.674775198114975,0.13282208588957056,0.09555214723926378,0.06809815950920242,-0.0005368098159509449
28,5,3,28,0.8951612903225806,0.8913086388713373,0.813543695746733,0.8899805208313635,-0.5743613054194656,0.3335359413797666,2.507614429633233,-0.3664789557815387,3.3789676669017807,0.11980286738351253,0.09103942652329747,0.07499999999999997,0.005017921146953397
29,5,4,29,0.8715277777777778,0.8677530634801831,0.8365015618027667,0.9130778257061167,0.9934835473813489,0.9765452008068807,0.8903017960887417,-0.3716113077456363,3.181861285221894,0.15616319444444446,0.1285590277777778,0.09427083333333335,0.002690972222222232
30,6,0,30,0.7863568215892054,0.7807683899261557,0.7835759817423467,0.8696039303421061,2.312445138155278,0.29675511778514213,2.7814224236444645,0.11462487959676965,-0.3408307580360067,0.1197151424287856,0.06626686656671663,0.07331334332833583,-0.0002998500749625266
31,6,1,31,0.9330484330484331,0.9316168772967793,0.8671071550838754,0.955385142074632,-0.3513434651750595,0.32931841370524856,2.5910568236794296,-0.9954401005366397,3.73553401517585,0.12022792022792031,0.08988603988603994,0.0714387464387465,0.01232193732193737
32,6,2,32,0.8215277777777777,0.8149549749144741,0.8015943338711163,0.8721631619288833,0.43469149935443396,0.05676221780736368,2.643808282205728,0.27600608967784773,2.2556121372173954,0.1278472222222222,0.1009722222222222,0.06749999999999998,-0.0016666666666666607
33,6,3,33,0.8622047244094488,0.8620478314768958,0.8596501537678009,0.910113415995769,0.21838910897867195,-0.25101968302485883,0.17587934069458036,0.3201829208518745,5.360682069974757,0.19232283464566927,0.16161417322834654,0.12224409448818899,-0.011318897637795255
34,6,4,34,0.9478859390363815,0.9491614126068526,0.8017370470200659,0.7814714984526305,1.9915934735011642,-0.08911200528758682,-0.2927170514708618,-0.5408992178104005,4.333239718560042,0.09233038348082598,0.08171091445427728,0.05594886922320552,1.1102230246251566e-17
35,7,0,35,0.8423686405337781,0.8351083384496214,0.8013714945896533,0.8602093866685723,-1.0537963256164309,0.426529606907456,4.099455390182828,0.15607965142771457,2.447312235050923,0.1334445371142619,0.09916597164303585,0.08190158465387821,-0.009257714762301916
